,Home Team,Visiting Team,Home Score,HomeTeamWin,Visiting Score,VisitingTeamWin
0,ANA,SEA,20,3,14,0
1,ANA,TEX,12,1,21,2
2,ARI,CLE,21,3,7,0
3,ARI,SFN,27,3,22,1
4,ATL,SDN,23,4,10,0
5,ATL,WAS,7,0,20,3
6,BAL,BOS,2,1,0,0
7,BAL,NYA,14,2,16,1
8,BAL,TOR,6,2,3,0
9,BOS,BAL,13,1,13,1
10,BOS,PIT,12,3,6,0
11,BOS,TBA,18,3,19,1
12,CHA,CLE,0,0,3,1
13,CHA,DET,14,1,8,1
14,CHA,MIN,8,1,9,2
15,CHN,LAN,7,2,4,1
16,CHN,MIL,19,2,17,1
17,CHN,PIT,10,0,18,3
18,CIN,BAL,10,1,7,2
19,CIN,MIL,14,1,24,3
20,CIN,PHI,12,2,8,1
21,CLE,CHA,7,1,13,2
22,CLE,DET,20,1,17,2
23,COL,LAN,12,2,13,1
24,COL,SDN,6,1,13,2
25,DET,BOS,17,3,14,1
26,DET,MIN,12,2,15,1
27,HOU,ANA,10,2,6,1
28,HOU,KCA,9,1,16,2
29,HOU,SEA,12,3,8,1
30,KCA,ANA,11,3,3,0
31,KCA,OAK,6,1,11,2
32,KCA,SFN,3,1,2,1
33,LAN,ARI,18,2,12,2
34,LAN,COL,3,0,4,1
35,LAN,SDN,27,3,10,1
36,MIA,ATL,12,1,9,1
37,MIA,NYN,20,3,17,1
38,MIL,CHN,12,1,19,2
39,MIL,COL,17,1,16,3
40,MIN,CHA,8,1,5,2
41,MIN,CLE,7,0,20,3
42,MIN,KCA,21,3,5,0
43,NYA,CHA,17,2,9,1
44,NYA,SLN,16,3,8,0
45,NYA,TBA,19,3,7,0
46,NYN,ATL,13,2,5,1
47,NYN,MIA,8,1,17,2
48,NYN,PHI,11,1,16,2
49,OAK,ANA,15,2,15,2
50,OAK,HOU,8,0,17,2
51,OAK,TEX,13,2,10,1
52,PHI,NYN,11,0,23,3
53,PHI,WAS,27,2,13,1
54,PIT,ATL,17,3,13,0
55,PIT,CIN,5,0,22,3
56,SDN,ARI,2,0,11,1
57,SDN,SFN,12,2,12,1
58,SEA,HOU,16,1,17,2
59,SEA,MIA,16,2,11,1
60,SEA,TEX,15,3,8,0
61,SFN,ARI,13,2,7,1
62,SFN,COL,12,1,14,3
63,SLN,CHN,9,1,11,2
64,SLN,CIN,10,1,14,2
65,SLN,PIT,6,3,3,0
66,TBA,DET,21,3,9,0
67,TBA,NYA,11,2,9,1
68,TBA,TOR,22,3,17,1
69,TEX,CLE,14,0,21,3
70,TEX,KCA,1,1,0,0
71,TEX,OAK,19,2,12,1
72,TOR,BAL,11,1,20,3
73,TOR,BOS,11,1,12,2
74,TOR,MIL,3,0,6,2
75,WAS,MIA,13,2,10,1
76,WAS,PHI,11,2,10,1
77,WAS,SLN,23,2,15,1
