Year,Team,Team Name,Wins,Losses,runsFor,runsAgainst,hitsFor,hitsAgainst,teamERA,WHIP,totalExtraBaseHits,battingAverage
2018,ARI,Arizona Diamondbacks,18,7,114,78,194,178,2.88,1.09,89,0.232
2018,ATL,Atlanta Braves,14,10,124,101,223,187,3.67,1.4,88,0.261
2018,BAL,Baltimore Orioles,7,19,93,144,207,259,5.04,1.5,77,0.232
2018,BOS,Boston Red Sox,19,6,151,88,248,202,3.4,1.18,97,0.278
2018,CHN,Chicago Cubs,14,9,114,85,200,168,3.43,1.3,71,0.257
2018,CHA,Chicago White Sox,6,18,86,136,200,229,5.11,1.6,71,0.241
2018,CIN,Cincinnati Reds,7,20,110,145,221,244,5.15,1.49,66,0.241
2018,CLE,Cleveland Indians,14,11,95,96,199,191,3.58,1.09,74,0.231
2018,COL,Colorado Rockies,14,13,103,122,194,217,4.35,1.29,68,0.221
2018,DET,Detroit Tigers,11,15,114,115,222,218,4.1,1.34,86,0.249
2018,HOU,Houston Astros,18,9,135,73,231,175,2.47,0.99,75,0.256
2018,KCA,Kansas City Royals,7,19,85,142,218,238,5.05,1.39,65,0.245
2018,ANA,Los Angeles Angels,14,11,115,116,209,212,4.24,1.38,65,0.243
2018,LAN,Los Angeles Dodgers,11,14,128,122,233,224,4.42,1.32,90,0.258
2018,MIA,Miami Marlins,9,16,84,124,190,204,4.85,1.41,52,0.228
2018,MIL,Milwaukee Brewers,14,13,96,97,201,201,3.23,1.19,67,0.226
2018,MIN,Minnesota Twins,8,14,90,129,186,216,5.57,1.56,78,0.241
2018,NYN,New York Mets,15,9,112,107,188,198,3.88,1.25,64,0.23
2018,NYA,New York Yankees,16,9,151,110,222,198,3.76,1.25,93,0.258
2018,OAK,Oakland Athletics,13,12,130,122,228,219,4.42,1.28,88,0.265
2018,PHI,Philadelphia Phillies,15,10,118,90,192,191,3.38,1.19,65,0.234
2018,PIT,Pittsburgh Pirates,16,12,129,112,240,230,3.83,1.26,81,0.255
2018,SDN,San Diego Padres,10,17,109,138,211,229,4.53,1.41,73,0.231
2018,SFN,San Francisco Giants,13,13,104,119,217,225,4.23,1.38,67,0.245
2018,SEA,Seattle Mariners,15,10,121,123,219,221,5.01,1.35,89,0.256
2018,SLN,St. Louis Cardinals,15,10,120,86,204,202,3.11,1.26,71,0.24
2018,TBA,Tampa Bay Rays,12,12,119,124,231,209,4.85,1.37,74,0.276
2018,TEX,Texas Rangers,10,17,105,141,213,262,4.76,1.45,78,0.235
2018,TOR,Toronto Blue Jays,15,10,141,107,203,219,4.18,1.36,86,0.239
2018,WAS,Washington Nationals,11,16,111,115,216,194,4,1.16,74,0.237
